BPS,EVT,ACRES
BPS  Open Water,EVT  Open Water,6450
BPS  Barren-Rock/Sand/Clay,EVT  Sparsely Vegetated,3
BPS  Hardwood,EVT  Grassland,435
BPS  Hardwood,EVT  Shrubland,189
BPS  Hardwood,EVT  Conifer,347
BPS  Hardwood,EVT  Grassland,57
BPS  Hardwood,EVT  Shrubland,24
BPS  Hardwood,EVT  Conifer,64
BPS  Hardwood,EVT  Grassland,26
BPS  Hardwood,EVT  Shrubland,0
BPS  Hardwood,EVT  Conifer,130
BPS  Hardwood,EVT  Hardwood,1996
BPS  Hardwood,EVT  Conifer-Hardwood,1537
BPS  Hardwood,EVT  Hardwood,7398
BPS  Hardwood,EVT  Conifer-Hardwood,16068
BPS  Hardwood,EVT  Grassland,2
BPS  Hardwood,EVT  Shrubland,48
BPS  Hardwood,EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,49
BPS  Hardwood,EVT  Developed-Low Intensity,2390
BPS  Hardwood,EVT  Developed-Medium Intensity,1079
BPS  Hardwood,EVT  Developed-High Intensity,190
BPS  Hardwood,EVT  Developed-Roads,10669
BPS  Hardwood,EVT  Hardwood,458082
BPS  Hardwood,EVT  Hardwood,249
BPS  Hardwood,EVT  Conifer,1522
BPS  Hardwood,EVT  Conifer,5577
BPS  Hardwood,EVT  Conifer,73
BPS  Hardwood,EVT  Conifer,49
BPS  Hardwood,EVT  Conifer,10739
BPS  Hardwood,EVT  Conifer-Hardwood,56213
BPS  Hardwood,EVT  Conifer,6
BPS  Hardwood,EVT  Shrubland,4
BPS  Hardwood,EVT  Conifer,40
BPS  Hardwood,EVT  Hardwood,1723
BPS  Hardwood,EVT  Conifer,217
BPS  Hardwood,EVT  Riparian,667
BPS  Hardwood,EVT  Conifer-Hardwood,106
BPS  Hardwood,EVT  Hardwood,247
BPS  Hardwood,EVT  Conifer-Hardwood,159
BPS  Hardwood,EVT  Hardwood,3208
BPS  Hardwood,EVT  Conifer-Hardwood,16448
BPS  Hardwood,EVT  Hardwood,76
BPS  Hardwood,EVT  Conifer-Hardwood,7
BPS  Hardwood,EVT  Developed,4016
BPS  Hardwood,EVT  Developed,777
BPS  Hardwood,EVT  Developed,2543
BPS  Hardwood,EVT  Developed,2404
BPS  Hardwood,EVT  Developed,1002
BPS  Hardwood,EVT  Developed,6283
BPS  Hardwood,EVT  Developed,679
BPS  Hardwood,EVT  Developed,1599
BPS  Hardwood,EVT  Developed,612
BPS  Hardwood,EVT  Developed,883
BPS  Hardwood,EVT  Developed,43
BPS  Hardwood,EVT  Developed,2
BPS  Hardwood,EVT  Developed,4
BPS  Hardwood,EVT  Agricultural,305
BPS  Hardwood,EVT  Agricultural,817
BPS  Hardwood,EVT  Agricultural,407
BPS  Hardwood,EVT  Agricultural,82
BPS  Hardwood,EVT  Agricultural,8295
BPS  Hardwood,EVT  Riparian,3
BPS  Hardwood,EVT  Riparian,4
BPS  Hardwood,EVT  Riparian,3
BPS  Hardwood,EVT  Riparian,18
BPS  Hardwood,EVT  Riparian,0
BPS  Hardwood,EVT  Riparian,28
BPS  Hardwood,EVT  Riparian,115
BPS  Hardwood,EVT  Riparian,144
BPS  Hardwood,EVT  Riparian,82
BPS  Hardwood,EVT  Riparian,51
BPS  Hardwood,EVT  Riparian,14
BPS  Hardwood,EVT  Riparian,101
BPS  Hardwood,EVT  Riparian,6
BPS  Hardwood,EVT  Riparian,6229
BPS  Hardwood,EVT  Conifer,414
BPS  Hardwood,EVT  Hardwood,5
BPS  Hardwood,EVT  Conifer,1294
BPS  Hardwood,EVT  Riparian,1
BPS  Hardwood,EVT  Conifer-Hardwood,488
BPS  Hardwood,EVT  Exotic Tree-Shrub,321
BPS  Hardwood,EVT  Riparian,0
BPS  Hardwood,EVT  Riparian,5
