BPS_NAME,EVT_PHYS2,ACRES
Northwestern Great Plains Mixedgrass Prairie,Agricultural,43775331.96
Northwestern Great Plains Mixedgrass Prairie,NaturalVeg,60427804.15
Northwestern Great Plains Mixedgrass Prairie,Developed,3000012.096
Northwestern Great Plains Mixedgrass Prairie,Exotics,5231321.22
Northwestern Great Plains Mixedgrass Prairie,OtherClearing,81560.58
Central Mixedgrass Prairie,Agricultural,31422249.63
Central Mixedgrass Prairie,NaturalVeg,25838117.35
Central Mixedgrass Prairie,Developed,3280226.712
Central Mixedgrass Prairie,Exotics,7699584.042
Central Mixedgrass Prairie,OtherClearing,25075.566
Western Great Plains Shortgrass Prairie,Agricultural,17259043.24
Western Great Plains Shortgrass Prairie,NaturalVeg,37736128.54
Western Great Plains Shortgrass Prairie,Developed,2668221.552
Western Great Plains Shortgrass Prairie,Exotics,2480538.978
Western Great Plains Shortgrass Prairie,OtherClearing,110646.132
Central Tallgrass Prairie,Agricultural,43011962.76
Central Tallgrass Prairie,NaturalVeg,8293647.162
Central Tallgrass Prairie,Developed,6053037.348
Central Tallgrass Prairie,Exotics,2358986.874
Central Tallgrass Prairie,OtherClearing,14320.11
Inter-Mountain Basins Big Sagebrush Steppe,Agricultural,4907032.056
Inter-Mountain Basins Big Sagebrush Steppe,NaturalVeg,29471249.92
Inter-Mountain Basins Big Sagebrush Steppe,Developed,1017159.822
Inter-Mountain Basins Big Sagebrush Steppe,Exotics,3565670.76
Inter-Mountain Basins Big Sagebrush Steppe,OtherClearing,19579.734
Gulf and Atlantic Coastal Plain Floodplain Systems,Agricultural,13929414.64
Gulf and Atlantic Coastal Plain Floodplain Systems,NaturalVeg,19337765.1
Gulf and Atlantic Coastal Plain Floodplain Systems,Developed,2907741.57
Gulf and Atlantic Coastal Plain Floodplain Systems,Exotics,777931.956
Gulf and Atlantic Coastal Plain Floodplain Systems,OtherClearing,9798.636
Northern Tallgrass Prairie,Agricultural,30213259.39
Northern Tallgrass Prairie,NaturalVeg,1402306.734
Northern Tallgrass Prairie,Developed,2283333.27
Northern Tallgrass Prairie,Exotics,1778212.23
Northern Tallgrass Prairie,OtherClearing,6490.836
North-Central Interior Dry-Mesic Oak Forest and Woodland,Agricultural,20820640.52
North-Central Interior Dry-Mesic Oak Forest and Woodland,NaturalVeg,6925954.668
North-Central Interior Dry-Mesic Oak Forest and Woodland,Developed,5477573.388
North-Central Interior Dry-Mesic Oak Forest and Woodland,Exotics,1464299.346
North-Central Interior Dry-Mesic Oak Forest and Woodland,OtherClearing,15129.744
Inter-Mountain Basins Mixed Salt Desert Scrub,Agricultural,816472.044
Inter-Mountain Basins Mixed Salt Desert Scrub,NaturalVeg,24790129.28
Inter-Mountain Basins Mixed Salt Desert Scrub,Developed,411935.208
Inter-Mountain Basins Mixed Salt Desert Scrub,Exotics,4772661.894
Inter-Mountain Basins Mixed Salt Desert Scrub,OtherClearing,59511.762
Northeastern Interior Dry-Mesic Oak Forest,Agricultural,5879798.538
Northeastern Interior Dry-Mesic Oak Forest,NaturalVeg,16603903.03
Northeastern Interior Dry-Mesic Oak Forest,Developed,5745951.186
Northeastern Interior Dry-Mesic Oak Forest,Exotics,620349.03
Northeastern Interior Dry-Mesic Oak Forest,OtherClearing,19812.834
Inter-Mountain Basins Montane Sagebrush Steppe,Agricultural,1886127.54
Inter-Mountain Basins Montane Sagebrush Steppe,NaturalVeg,24364658.51
Inter-Mountain Basins Montane Sagebrush Steppe,Developed,607298.316
Inter-Mountain Basins Montane Sagebrush Steppe,Exotics,1134359.394
Inter-Mountain Basins Montane Sagebrush Steppe,OtherClearing,11700.288
Western Great Plains Sand Prairie,Agricultural,6118864.788
Western Great Plains Sand Prairie,NaturalVeg,18708046.12
Western Great Plains Sand Prairie,Developed,826916.478
Western Great Plains Sand Prairie,Exotics,1454671.206
Western Great Plains Sand Prairie,OtherClearing,22505.472
Southeastern Great Plains Tallgrass Prairie,Agricultural,12539327.45
Southeastern Great Plains Tallgrass Prairie,NaturalVeg,9079640.16
Southeastern Great Plains Tallgrass Prairie,Developed,2927048.466
Southeastern Great Plains Tallgrass Prairie,Exotics,2328433.68
Southeastern Great Plains Tallgrass Prairie,OtherClearing,26273.7
Southern Piedmont Dry Oak(-Pine) Forest,Agricultural,3771748.032
Southern Piedmont Dry Oak(-Pine) Forest,NaturalVeg,15233412.67
Southern Piedmont Dry Oak(-Pine) Forest,Developed,7426592.418
Southern Piedmont Dry Oak(-Pine) Forest,Exotics,209744.712
Southern Piedmont Dry Oak(-Pine) Forest,OtherClearing,10912.632
Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Agricultural,819939.684
Sonora-Mojave Creosotebush-White Bursage Desert Scrub,NaturalVeg,21932971.74
Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Developed,1171743.528
Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Exotics,656055.954
Sonora-Mojave Creosotebush-White Bursage Desert Scrub,OtherClearing,16710.384
Laurentian-Acadian Northern Hardwoods Forest,Agricultural,3010138.404
Laurentian-Acadian Northern Hardwoods Forest,NaturalVeg,17816284.1
Laurentian-Acadian Northern Hardwoods Forest,Developed,2238948.81
Laurentian-Acadian Northern Hardwoods Forest,Exotics,225989.118
Laurentian-Acadian Northern Hardwoods Forest,OtherClearing,9009.204
Great Basin Xeric Mixed Sagebrush Shrubland,Agricultural,106797.984
Great Basin Xeric Mixed Sagebrush Shrubland,NaturalVeg,20991046.39
Great Basin Xeric Mixed Sagebrush Shrubland,Developed,113274.39
Great Basin Xeric Mixed Sagebrush Shrubland,Exotics,1266248.706
Great Basin Xeric Mixed Sagebrush Shrubland,OtherClearing,12561.426
