BpS,model,Sclass,Reference,Current
Southern and Central Appalachian Cove Forest,13180_57_59_61,Regeneration,5,1
Southern and Central Appalachian Cove Forest,13180_57_59_61,Agriculture,0,1
Southern and Central Appalachian Cove Forest,13180_57_59_61,"Mid-development, open canopy",26,0
Southern and Central Appalachian Cove Forest,13180_57_59_61,"Mid-development, closed canopy",2,0
Southern and Central Appalachian Cove Forest,13180_57_59_61,"Late-development, open canopy",4,7
Southern and Central Appalachian Cove Forest,13180_57_59_61,"Late-development, closed canopy",63,84
Southern and Central Appalachian Cove Forest,13180_57_59_61,UE,0,3
Southern and Central Appalachian Cove Forest,13180_57_59_61,Urban,0,4
Appalachian (Hemlock-)Northern Hardwood Forest,13700_53_61_62,Regeneration,9,0
Appalachian (Hemlock-)Northern Hardwood Forest,13700_53_61_62,Agriculture,0,2
Appalachian (Hemlock-)Northern Hardwood Forest,13700_53_61_62,"Mid-development, closed canopy",14,66
Appalachian (Hemlock-)Northern Hardwood Forest,13700_53_61_62,"Mid-development, open canopy",9,8
Appalachian (Hemlock-)Northern Hardwood Forest,13700_53_61_62,"Late-development, closed canopy",68,5
Appalachian (Hemlock-)Northern Hardwood Forest,13700_53_61_62,UE,0,11
Appalachian (Hemlock-)Northern Hardwood Forest,13700_53_61_62,UN,0,2
Appalachian (Hemlock-)Northern Hardwood Forest,13700_53_61_62,Urban,0,5
South-Central Interior Mesophytic Forest,13210_61_63,Regeneration,2,0
South-Central Interior Mesophytic Forest,13210_61_63,Agriculture,0,8
South-Central Interior Mesophytic Forest,13210_61_63,"Mid-development, closed canopy",8,39
South-Central Interior Mesophytic Forest,13210_61_63,"Late-development, open canopy",5,0
South-Central Interior Mesophytic Forest,13210_61_63,"Late-development, closed canopy",3,10
South-Central Interior Mesophytic Forest,13210_61_63,UE,0,14
South-Central Interior Mesophytic Forest,13210_61_63,UN,0,11
South-Central Interior Mesophytic Forest,13210_61_63,Urban,0,18
South-Central Interior Mesophytic Forest,13210_61_63,"Late-development, closed canopy, tallest",82,0
