state,currentAverageAcres,historic_acres_burned
Alabama,17288,4579817.061
Arizona,204007,1361935.225
Arkansas,30094,5070515.542
California,481328,3926334.03
Colorado,56961,2099961.247
Delaware,37,118405.446
Florida,269307,8780260.177
Georgia,58939,6712007.945
Idaho,496665,976323.2664
Illinois,457,6174939.014
Indiana,781,1720504.388
Iowa,214,5406922.818
Kansas,381932,10357246.99
Kentucky,32851,3278876.693
Louisiana,27961,3700435.843
Maine,104,84018.06248
Maryland,1617,868088.3451
Massachusetts,23,245353.5883
Michigan,4206,1272086.685
Minnesota,39573,4837030.606
Mississippi,27886,2884057.129
Missouri,11589,7231215.113
Montana,243296,4574428.69
Nebraska,22019,7512722.583
Nevada,342788,504671.3623
New Jersey,5153,562946.2416
New Mexico,184699,3173741.308
New York,1043,518849.1431
North Carolina,21151,4269815.044
North Dakota,7583,4804668.992
Ohio,130,1794310.198
Oklahoma,145075,10924463.31
Oregon,324806,1787484.722
Pennsylvania,627,2571093.722
South Carolina,22195,3182404.185
South Dakota,33206,5205738.181
Tennessee,9433,3387586.102
Texas,246899,25678735.17
Utah,137038,661516.8535
Virginia,8008,2626948.231
Washington,170885,759371.1772
West Virginia,29435,1281722.269
Wisconsin,854,2790353.602
Wyoming,126859,1618446.095
