GP,VDEP,Percent
Acidic Granitic,9,0.058861259
Acidic Granitic,19,4.015055932
Acidic Granitic,21,6.378708093
Acidic Granitic,24,0.001206792
Acidic Granitic,27,0.569454778
Acidic Granitic,31,1.107170937
Acidic Granitic,33,4.483079877
Acidic Granitic,34,9.889204465
Acidic Granitic,43,0.665062841
Acidic Granitic,45,0.058619901
Acidic Granitic,48,0.142341067
Acidic Granitic,52,7.627435683
Acidic Granitic,54,0.213511601
Acidic Granitic,57,0.021179192
Acidic Granitic,58,1.52233741
Acidic Granitic,59,0.027907055
Acidic Granitic,61,0.340435905
Acidic Granitic,62,3.90780233
Acidic Granitic,65,0.031708449
Acidic Granitic,66,2.739869437
Acidic Granitic,67,0.015356423
Acidic Granitic,71,0.062964351
Acidic Granitic,72,0.00147832
Acidic Granitic,74,0.088608672
Acidic Granitic,79,0.162283298
Acidic Granitic,80,1.023087733
Acidic Granitic,82,52.20731231
Acidic Granitic,83,0.029717243
Acidic Granitic,85,0.237556923
Acidic Granitic,86,2.355506318
Acidic Granitic,96,0.011042143
Acidic Granitic,98,0.004133261
Acidic Loam,9,0.080112527
Acidic Loam,19,0.117188563
Acidic Loam,21,6.660702315
Acidic Loam,24,1.742430172
Acidic Loam,27,2.379209643
Acidic Loam,31,0.132666599
Acidic Loam,33,1.167647917
Acidic Loam,34,12.45837254
Acidic Loam,43,0.000744392
Acidic Loam,45,0.004466352
Acidic Loam,47,0.243543782
Acidic Loam,48,0.138414369
Acidic Loam,52,0.122484381
Acidic Loam,54,0.57282025
Acidic Loam,57,0.109228886
Acidic Loam,58,2.445683845
Acidic Loam,59,2.12683E-05
Acidic Loam,61,0.056143105
Acidic Loam,62,4.72199725
Acidic Loam,65,0.004062253
Acidic Loam,66,0.271522286
Acidic Loam,67,0.112429772
Acidic Loam,71,0.009980169
Acidic Loam,72,0.0116391
Acidic Loam,73,0.000228635
Acidic Loam,74,0.207977798
Acidic Loam,79,0.02014112
Acidic Loam,80,0.104257412
Acidic Loam,82,64.17317513
Acidic Loam,83,0.774550472
Acidic Loam,85,0.116928026
Acidic Loam,86,0.802231219
Acidic Loam,96,0.122755552
Acidic Loam,98,0.114242898
Acidic sedimentary,9,0.176389099
Acidic sedimentary,19,0.234012301
Acidic sedimentary,21,1.306731407
Acidic sedimentary,24,0.028831469
Acidic sedimentary,27,0.232723712
Acidic sedimentary,30,0.030063292
Acidic sedimentary,31,0.042398551
Acidic sedimentary,33,5.423960534
Acidic sedimentary,34,0.481199998
Acidic sedimentary,36,0.000130562
Acidic sedimentary,38,0.014083653
Acidic sedimentary,40,0.003769265
Acidic sedimentary,43,0.03621673
Acidic sedimentary,44,0.107003975
Acidic sedimentary,45,0.00090258
Acidic sedimentary,46,0.074863046
Acidic sedimentary,48,0.068794757
Acidic sedimentary,52,0.509321891
Acidic sedimentary,53,16.15960974
Acidic sedimentary,54,0.117704372
Acidic sedimentary,57,0.920915377
Acidic sedimentary,58,7.74755327
Acidic sedimentary,59,7.102418642
Acidic sedimentary,60,0.019760257
Acidic sedimentary,61,1.640004796
Acidic sedimentary,62,0.407182765
Acidic sedimentary,63,33.68516354
Acidic sedimentary,65,1.846269858
Acidic sedimentary,66,0.044816784
Acidic sedimentary,67,0.003144838
Acidic sedimentary,70,0.406552662
Acidic sedimentary,71,0.009973792
Acidic sedimentary,72,0.009065536
Acidic sedimentary,73,0.000164621
Acidic sedimentary,74,0.018409225
Acidic sedimentary,76,0.000539277
Acidic sedimentary,79,14.23747208
Acidic sedimentary,80,0.731191937
Acidic sedimentary,82,3.795904989
Acidic sedimentary,83,0.313791285
Acidic sedimentary,84,0.257184196
Acidic sedimentary,85,0.114025933
Acidic sedimentary,86,0.481983369
Acidic sedimentary,88,5.6766E-06
Acidic sedimentary,89,0.029524015
Acidic sedimentary,95,0.704795731
Acidic sedimentary,96,3.97362E-05
Acidic sedimentary,97,0.031868452
Acidic sedimentary,98,0.000130562
Acidic sedimentary,100,0.391435867
Calcareous Loam,9,0.069173019
Calcareous Loam,19,0.536590023
Calcareous Loam,21,7.714002122
Calcareous Loam,24,0.598066322
Calcareous Loam,27,1.186928334
Calcareous Loam,30,0.244642844
Calcareous Loam,31,0.385444413
Calcareous Loam,33,10.6151942
Calcareous Loam,34,2.76016256
Calcareous Loam,38,0.039057399
Calcareous Loam,39,2.337191917
Calcareous Loam,43,0.043767239
Calcareous Loam,44,0.454358046
Calcareous Loam,45,0.70889061
Calcareous Loam,47,2.073356005
Calcareous Loam,48,0.090780745
Calcareous Loam,50,6.238770605
Calcareous Loam,52,1.374932054
Calcareous Loam,53,0.00487962
Calcareous Loam,54,1.944885538
Calcareous Loam,57,2.771342927
Calcareous Loam,58,3.265489371
Calcareous Loam,59,0.246133141
Calcareous Loam,60,0.184084619
Calcareous Loam,61,0.176391042
Calcareous Loam,62,1.04974089
Calcareous Loam,63,0.897252756
Calcareous Loam,65,0.7947037
Calcareous Loam,66,4.119914971
Calcareous Loam,67,0.162904488
Calcareous Loam,68,0.084983052
Calcareous Loam,70,0.004942502
Calcareous Loam,71,0.131336301
Calcareous Loam,72,0.007041179
Calcareous Loam,73,0.002090817
Calcareous Loam,74,0.153283588
Calcareous Loam,75,0.442517421
Calcareous Loam,76,1.449824165
Calcareous Loam,79,8.221966821
Calcareous Loam,80,1.123318773
Calcareous Loam,82,17.75139992
Calcareous Loam,83,0.742013548
Calcareous Loam,84,6.8782068
Calcareous Loam,85,0.165897657
Calcareous Loam,86,2.227790327
Calcareous Loam,89,0.014063493
Calcareous Loam,95,6.10793107
Calcareous Loam,96,0.634919717
Calcareous Loam,97,0.376661411
Calcareous Loam,98,0.124433461
