ECOSYSTEM,EVT_PHYS,Acres
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Hardwood,9332936.388
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Conifer-Hardwood,3826974.972
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Conifer,1827537.744
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Agricultural,571174.032
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Developed,399139.35
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Riparian,261256.926
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Developed-Roads,240472.62
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Exotic Herbaceous,192723.75
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Developed-Low Intensity,78663.258
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Exotic Tree-Shrub,64604.442
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Developed-Medium Intensity,23256.942
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,8178.924
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Developed-High Intensity,5611.716
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Shrubland,1782.882
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Grassland,551.892
Appalachian (Hemlock)-Northern Hardwood Forest: typic,Sparsely Vegetated,38.184
Northeastern Interior Dry-Mesic Oak Forest: typic,Hardwood,11413353.44
Northeastern Interior Dry-Mesic Oak Forest: typic,Conifer-Hardwood,2013643.674
Northeastern Interior Dry-Mesic Oak Forest: typic,Conifer,639372.432
Northeastern Interior Dry-Mesic Oak Forest: typic,Developed,501080.418
Northeastern Interior Dry-Mesic Oak Forest: typic,Agricultural,495714.678
Northeastern Interior Dry-Mesic Oak Forest: typic,Developed-Roads,245493.594
Northeastern Interior Dry-Mesic Oak Forest: typic,Exotic Herbaceous,158565.942
Northeastern Interior Dry-Mesic Oak Forest: typic,Riparian,111716.838
Northeastern Interior Dry-Mesic Oak Forest: typic,Developed-Low Intensity,96196.596
Northeastern Interior Dry-Mesic Oak Forest: typic,Exotic Tree-Shrub,33932.922
Northeastern Interior Dry-Mesic Oak Forest: typic,Developed-Medium Intensity,31333.746
Northeastern Interior Dry-Mesic Oak Forest: typic,Developed-High Intensity,10257.51
Northeastern Interior Dry-Mesic Oak Forest: typic,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,7073.142
Northeastern Interior Dry-Mesic Oak Forest: typic,Grassland,1.332
Northeastern Interior Dry-Mesic Oak Forest: typic,Sparsely Vegetated,0.444
Laurentian-Acadian Northern Hardwood Forest: typic,Hardwood,9454177.026
Laurentian-Acadian Northern Hardwood Forest: typic,Conifer-Hardwood,1785098.448
Laurentian-Acadian Northern Hardwood Forest: typic,NA,623992.938
Laurentian-Acadian Northern Hardwood Forest: typic,Conifer,510640.626
Laurentian-Acadian Northern Hardwood Forest: typic,Exotic Tree-Shrub,192938.202
Laurentian-Acadian Northern Hardwood Forest: typic,Exotic Herbaceous,168345.042
Laurentian-Acadian Northern Hardwood Forest: typic,Agricultural,165244.368
Laurentian-Acadian Northern Hardwood Forest: typic,Developed,86502.966
Laurentian-Acadian Northern Hardwood Forest: typic,Developed-Roads,75153.438
Laurentian-Acadian Northern Hardwood Forest: typic,Riparian,62677.926
Laurentian-Acadian Northern Hardwood Forest: typic,Developed-Low Intensity,28961.232
Laurentian-Acadian Northern Hardwood Forest: typic,Sparsely Vegetated,6250.632
Laurentian-Acadian Northern Hardwood Forest: typic,Developed-Medium Intensity,2559.216
Laurentian-Acadian Northern Hardwood Forest: typic,Shrubland,1100.232
Laurentian-Acadian Northern Hardwood Forest: typic,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,445.11
